Keyword,Severity,Confidence,OWASP,CVSS,Remediation,File,Line,Content
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,259,"""file"": ""/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt"","
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,281,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,289,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,297,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,305,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,313,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,321,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,329,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,337,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,345,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
