Scan report for: /example/secure-scan/data/.DS_Store
Keywords: password, token, sql, injection, xss, admin, secret, apikey, api key
------------------------------------------------------------
✅ No matches found.

Scan report for: /example/secure-scan/data/vulnerability_history.json
Keywords: password, token, sql, injection, xss, admin, secret, apikey, api key
------------------------------------------------------------
Total Matches: 703
HIGH: 129
MEDIUM: 97
LOW: 0

Line 259 | HIGH | password | "file": "/example/secure-scan/data/urgent_payroll_password.txt",
Line 281 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 289 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 297 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 305 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 313 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 321 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 329 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 337 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 345 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 353 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 361 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 369 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 377 | HIGH | password | "content": "Suspicious filename: urgent_payroll_password.txt"
Line 383 | HIGH | password | "finding": "weak_password",
Line 384 | HIGH | password | "file": "/example/secure-scan/data/urgent_payroll_password.txt",
Line 390 | HIGH | password | "remediation": "Enforce strong password policies.",
Line 509 | HIGH | password | "file": "/example/secure-scan/data/urgent_payroll_password.txt",
Line 634 | HIGH | password | "file": "/example/secure-scan/data/urgent_payroll_password.txt",
Line 759 | HIGH | password | "file": "/example/secure-scan/data/urgent_payroll_password.txt",
Line 883 | HIGH | token | "finding": "token",
Line 884 | HIGH | password | "file": "/example/secure-scan/data/urgent_payroll_password.txt",
Line 906 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 914 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 922 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 930 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 938 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 946 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 954 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 962 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 970 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 978 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 986 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 994 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 1002 | HIGH | token | "content": "JWT token leaked: eyJhbGciOi"
Line 1009 | HIGH | password | "file": "/example/secure-scan/data/urgent_payroll_password.txt",
Line 1134 | HIGH | password | "file": "/example/secure-scan/data/urgent_payroll_password.txt",
Line 1156 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1164 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1172 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1180 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1188 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1196 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1204 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1212 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1220 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1228 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1236 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1244 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1252 | HIGH | xss | "content": "XSS payload detected: <script>alert(1)</script>"
Line 1259 | HIGH | password | "file": "/example/secure-scan/data/urgent_payroll_password.txt",
Line 1508 | HIGH | token | "finding": "github_token",
Line 1515 | HIGH | token | "remediation": "Remove token and rotate credentials.",
Line 1633 | HIGH | password | "finding": "password",
Line 1656 | HIGH | password | "content": "admin password is secret"
Line 1664 | HIGH | password | "content": "admin password is secret"
Line 1672 | HIGH | password | "content": "admin password is secret"
Line 1680 | HIGH | password | "content": "admin password is secret"
Line 1688 | HIGH | password | "content": "admin password is secret"
Line 1696 | HIGH | password | "content": "admin password is secret"
Line 1704 | HIGH | password | "content": "admin password is secret"
Line 1712 | HIGH | password | "content": "admin password is secret"
Line 1720 | HIGH | password | "content": "admin password is secret"
Line 1728 | HIGH | password | "content": "admin password is secret"
Line 1736 | HIGH | password | "content": "admin password is secret"
Line 1744 | HIGH | password | "content": "admin password is secret"
Line 1752 | HIGH | password | "content": "admin password is secret"
Line 1758 | HIGH | password | "finding": "password_assignment",
Line 1883 | HIGH | password | "finding": "weak_password",
Line 1890 | HIGH | password | "remediation": "Enforce strong password policies.",
Line 3008 | HIGH | token | "finding": "token",
Line 3031 | HIGH | token | "content": "ALERT github_token found in config"
Line 3039 | HIGH | token | "content": "ALERT github_token found in config"
Line 3047 | HIGH | token | "content": "ALERT github_token found in config"
Line 3055 | HIGH | token | "content": "ALERT github_token found in config"
Line 3063 | HIGH | token | "content": "ALERT github_token found in config"
Line 3071 | HIGH | token | "content": "ALERT github_token found in config"
Line 3079 | HIGH | token | "content": "ALERT github_token found in config"
Line 3087 | HIGH | token | "content": "ALERT github_token found in config"
Line 3095 | HIGH | token | "content": "ALERT github_token found in config"
Line 3103 | HIGH | token | "content": "ALERT github_token found in config"
Line 3111 | HIGH | token | "content": "ALERT github_token found in config"
Line 3119 | HIGH | token | "content": "ALERT github_token found in config"
Line 3127 | HIGH | token | "content": "ALERT github_token found in config"
Line 3156 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3164 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3172 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3180 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3188 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3196 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3204 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3212 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3220 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3228 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3236 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3244 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 3252 | HIGH | xss | "content": "ERROR XSS payload: <script>alert(1)</script>"
Line 4008 | HIGH | password | "finding": "password",
Line 4031 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4039 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4047 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4055 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4063 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4071 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4079 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4087 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4095 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4103 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4111 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4119 | HIGH | password | "content": "\"file\": \"/example/secure-scan/data/urgent_payroll_password.txt\","
Line 4125 | HIGH | password | "finding": "weak_password",
Line 4132 | HIGH | password | "remediation": "Enforce strong password policies.",
Line 4593 | HIGH | token | "finding": "token",
Line 4616 | HIGH | token | "content": "\"finding\": \"token\","
Line 4624 | HIGH | token | "content": "\"finding\": \"token\","
Line 4632 | HIGH | token | "content": "\"finding\": \"token\","
Line 4640 | HIGH | token | "content": "\"finding\": \"token\","
Line 4648 | HIGH | token | "content": "\"finding\": \"token\","
Line 4656 | HIGH | token | "content": "\"finding\": \"token\","
Line 4664 | HIGH | token | "content": "\"finding\": \"token\","
Line 4672 | HIGH | token | "content": "\"finding\": \"token\","
Line 4680 | HIGH | token | "content": "\"finding\": \"token\","
Line 4688 | HIGH | token | "content": "\"finding\": \"token\","
Line 4696 | HIGH | token | "content": "\"finding\": \"token\","
Line 4704 | HIGH | token | "content": "\"finding\": \"token\","
Line 4710 | HIGH | token | "finding": "github_token",
Line 4717 | HIGH | token | "remediation": "Remove token and rotate credentials.",
Line 4827 | HIGH | password | "finding": "password_assignment",
Line 6225 | HIGH | xss | "content": "\"content\": \"XSS payload detected: <script>alert(1)</script>\""
Line 633 | MEDIUM | sql | "finding": "sql_injection_payload",
Line 636 | MEDIUM | injection | "owasp": "A03: Injection",
Line 1008 | MEDIUM | admin | "finding": "admin",
Line 1031 | MEDIUM | admin | "content": "User logged in as admin"
Line 1039 | MEDIUM | admin | "content": "User logged in as admin"
Line 1047 | MEDIUM | admin | "content": "User logged in as admin"
Line 1055 | MEDIUM | admin | "content": "User logged in as admin"
Line 1063 | MEDIUM | admin | "content": "User logged in as admin"
Line 1071 | MEDIUM | admin | "content": "User logged in as admin"
Line 1079 | MEDIUM | admin | "content": "User logged in as admin"
Line 1087 | MEDIUM | admin | "content": "User logged in as admin"
Line 1095 | MEDIUM | admin | "content": "User logged in as admin"
Line 1103 | MEDIUM | admin | "content": "User logged in as admin"
Line 1111 | MEDIUM | admin | "content": "User logged in as admin"
Line 1119 | MEDIUM | admin | "content": "User logged in as admin"
Line 1127 | MEDIUM | admin | "content": "User logged in as admin"
Line 1133 | MEDIUM | xss | "finding": "xss",
Line 1136 | MEDIUM | injection | "owasp": "A03: Injection",
Line 1383 | MEDIUM | sql | "finding": "sql_injection_payload",
Line 1386 | MEDIUM | injection | "owasp": "A03: Injection",
Line 2008 | MEDIUM | admin | "finding": "admin_endpoint",
Line 2386 | MEDIUM | injection | "owasp": "A03: Injection",
Line 2761 | MEDIUM | injection | "owasp": "A03: Injection",
Line 3133 | MEDIUM | xss | "finding": "xss",
Line 3136 | MEDIUM | injection | "owasp": "A03: Injection",
Line 3508 | MEDIUM | admin | "finding": "admin",
Line 3531 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3539 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3547 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3555 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3563 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3571 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3579 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3587 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3595 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3603 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3611 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3619 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 3627 | MEDIUM | admin | "content": "WARN User attempt access to admin_panel"
Line 4359 | MEDIUM | sql | "finding": "sql_injection_payload",
Line 4362 | MEDIUM | injection | "owasp": "A03: Injection",
Line 4944 | MEDIUM | admin | "finding": "admin_endpoint",
Line 5298 | MEDIUM | injection | "owasp": "A03: Injection",
Line 5532 | MEDIUM | injection | "owasp": "A03: Injection",
Line 5763 | MEDIUM | sql | "finding": "sql",
Line 5766 | MEDIUM | injection | "owasp": "A03: Injection",
Line 5786 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
Line 5794 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
Line 5802 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
Line 5810 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
Line 5818 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
